"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_44","Seq_44",0.443583128069996,1.82019693281492,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_1291","Seq_1291",0.0238506550996595,-1.81809171110648,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes"
"Seq_149","Seq_149",0.184382230407274,1.80844791057773,"Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Seq_74","Seq_74",0.277704158915814,1.80167972459753,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_81","Seq_81",0.107566509434691,-1.78280423615139,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter"
"Seq_24","Seq_24",0.731382063919425,1.77963794701879,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_851","Seq_851",0.0262322657948889,1.7720373959357,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Seq_693","Seq_693",0.032717459183287,1.77009928878956,"Rare","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_396","Seq_396",0.0289398905163413,-1.74790432657881,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum"
"Seq_104","Seq_104",0.229180603513892,1.74473098184556,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_73","Seq_73",0.310628067830867,-1.74424625816691,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_608","Seq_608",0.0436257043467947,1.73756630053828,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_413","Seq_413",0.0496481329522573,1.73570503414399,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
